Time (year),Global monthly mean SAOD at 550nm,Global monthly mean TOA ERF (W/m2)
2015.04166666667,0.00361461419417515,-0.0190272636076493
2015.125,0.00361449819665664,-0.0190248646659919
2015.20833333333,0.00361438134068176,-0.0190224479703417
2015.29166666667,0.00361425595310265,-0.0190198548324682
2015.375,0.00361400891651881,-0.0190147458731534
2015.45833333333,0.00361450847491162,-0.0190250772303273
2015.54166666667,0.00361586556768659,-0.0190531432129298
2015.625,0.00364324797204654,-0.0196194295091344
2015.70833333333,0.00430205942370135,-0.0332394140600292
2015.79166666667,0.00488369301616411,-0.0452564011837251
2015.875,0.00538895621944799,-0.0556898470573651
2015.95833333333,0.00581775448005125,-0.0645401937000716
2016.04166666667,0.00617424281059393,-0.0718951832545336
2016.125,0.010751048492625,-0.166090289813358
2016.20833333333,0.0190298582055508,-0.335384875202801
2016.29166666667,0.026256077708746,-0.482013630350079
2016.375,0.0322136322142094,-0.602105304595009
2016.45833333333,0.0368206088022925,-0.69448288087403
2016.54166666667,0.0401172062254237,-0.760324430887253
2016.625,0.0422174525853973,-0.802158715390756
2016.70833333333,0.0432749111639076,-0.823188737202835
2016.79166666667,0.0434629409492315,-0.826925818405204
2016.875,0.0429499284696669,-0.81672806777972
2016.95833333333,0.0418929708781569,-0.795701182261299
2017.04166666667,0.0404257112297567,-0.766474971799993
2017.125,0.0386691111034584,-0.731428967321564
2017.20833333333,0.0367168846266654,-0.69240771748241
2017.29166666667,0.0346547863945493,-0.651107528919712
2017.375,0.0325429303127694,-0.608722413542774
2017.45833333333,0.0304405038129052,-0.566437544289668
2017.54166666667,0.0283737811415824,-0.524784025999033
2017.625,0.0263691464061061,-0.48429952249828
2017.70833333333,0.0265221834047578,-0.487393035907959
2017.79166666667,0.0269594759952318,-0.496229926873228
2017.875,0.0270839460331134,-0.498744534399688
2017.95833333333,0.0269068697355413,-0.495167054141401
2018.04166666667,0.0264639693280194,-0.486216343405367
2018.125,0.0258027448795629,-0.472846075568971
2018.20833333333,0.0249591351521253,-0.45577505213165
2018.29166666667,0.0239776682522748,-0.435896261840581
2018.375,0.0228968799039907,-0.413983215082211
2018.45833333333,0.0217517760484585,-0.390740313820284
2018.54166666667,0.0205721383081032,-0.366768608431409
2018.625,0.019384801214257,-0.342611870304772
2018.70833333333,0.0401520261507777,-0.761018716814589
2018.79166666667,0.0617010334790044,-1.18608761558388
2018.875,0.0797482667158013,-1.53510090876798
2018.95833333333,0.093984128000524,-1.8059969595044
2019.04166666667,0.104423344472614,-2.00220961220088
2019.125,0.111380600898957,-2.13184346366869
2019.20833333333,0.115291274218612,-2.20431565812989
2019.29166666667,0.116658833437962,-2.2295923141684
2019.375,0.115953126519242,-2.21655301925376
2019.45833333333,0.113602086551276,-2.17304657400017
2019.54166666667,0.110112760950431,-2.10828708333684
2019.625,0.105790630404991,-2.02775736844074
2019.70833333333,0.100726670026811,-1.93296205430042
2019.79166666667,0.0951846207451173,-1.828665463661
2019.875,0.0893654061511394,-1.71852897518696
2019.95833333333,0.0834310667428663,-1.60555159214358
2020.04166666667,0.0775097742735716,-1.49215237494603
2020.125,0.0716941833586484,-1.38012194497634
2020.20833333333,0.0661333826167869,-1.27238868878484
2020.29166666667,0.0608713873477781,-1.16989125597453
2020.375,0.0558824368826431,-1.07221305762308
2020.45833333333,0.0511804301553368,-0.979705756838488
2020.54166666667,0.046777564031269,-0.89268851930567
2020.625,0.04268000739277,-0.811360429220742
2020.70833333333,0.0390573998945089,-0.739181034509054
2020.79166666667,0.0357567570323662,-0.673188651134926
2020.875,0.0327168287455641,-0.612215951458713
2020.95833333333,0.0299220846628396,-0.555997213953824
2021.04166666667,0.027359548222671,-0.504311277499292
2021.125,0.0250168594875243,-0.456943602835202
2021.20833333333,0.0231183951640867,-0.418476379695998
2021.29166666667,0.0214196574134722,-0.383994110007737
2021.375,0.0198537222871666,-0.352155640775763
2021.45833333333,0.0184193470602956,-0.322948254738862
2021.54166666667,0.0170936780999416,-0.295917116524903
2021.625,0.0158682483259941,-0.270898019407022
2021.70833333333,0.0148136574994029,-0.24934231163474
2021.79166666667,0.0139729500719456,-0.232142062644284
2021.875,0.013183699920606,-0.215981426116108
2021.95833333333,0.01244346576444,-0.200812842452948
2022.04166666667,0.0117493246406445,-0.186578573918478
2022.125,0.0110986824390609,-0.173227333270501
2022.20833333333,0.0104892439769574,-0.160713715751946
2022.29166666667,0.00991866385985368,-0.148991063340498
2022.375,0.00938991287911539,-0.138121823902803
2022.45833333333,0.0088961601209572,-0.127966833019372
2022.54166666667,0.00855533929467516,-0.12095426072964
2022.625,0.00831404960085507,-0.115988149972525
2022.70833333333,0.00807328154386869,-0.111031580766585
2022.79166666667,0.00783420411654,-0.106108634706371
2022.875,0.00759694137433124,-0.101221891870215
2022.95833333333,0.00736217696146775,-0.0963854641336082
2023.04166666667,0.00713604060701371,-0.0917257110039555
2023.125,0.00691611868962809,-0.087193001405488
2023.20833333333,0.00669977005950648,-0.082732966404545
2023.29166666667,0.00648818021243675,-0.0783701004731213
2023.375,0.00628264163228299,-0.0741311243214699
2023.45833333333,0.00608419566963204,-0.0700375977584462
2023.54166666667,0.00589379390148784,-0.0661092424692834
2023.625,0.00571202372513695,-0.0623582756108564
2023.70833333333,0.0055399747859286,-0.0588072857811546
2023.79166666667,0.00537984535688265,-0.0555017587279826
2023.875,0.00522940983520289,-0.0523958592522945
2023.95833333333,0.0050882756287284,-0.049481570378205
2024.04166666667,0.0049562358645531,-0.0467547007710104
2024.125,0.00483724202814221,-0.0442969456525653
