,solar_erf
1750,0.08016025631991569
1751,0.07912866757481303
1752,0.06159198392006179
1753,0.03258951962568146
1754,-0.002515048855717839
1755,-0.03615186221021003
1756,-0.06031846987626439
1757,-0.06758054263030626
1758,-0.04898009402213785
1759,-0.0024103949256373655
1760,0.045545481234091134
1761,0.07093185971335172
1762,0.0676495614348095
1763,0.0467126000702426
1764,0.014658596164123369
1765,-0.020878238552656556
1766,-0.05009196078178879
1767,-0.06365992037682047
1768,-0.04998178164447938
1769,0.000952506379882959
1770,0.06205155117979905
1771,0.09466327603397333
1772,0.09122984707947636
1773,0.06918491910129247
1774,0.03463807156734042
1775,-0.004886662929676617
1776,-0.03982677523454573
1777,-0.06050600191956645
1778,-0.05608681094136891
1779,-0.01461882845941284
1780,0.04989901974600827
1781,0.09237844021812953
1782,0.09596950009463245
1783,0.07388914578614128
1784,0.03816477902623607
1785,-0.0036776175191062864
1786,-0.03955474001699905
1787,-0.05795238100900182
1788,-0.04334665743869435
1789,0.018457338836809903
1790,0.09139917843692537
1791,0.12199940274288262
1792,0.11349220822482521
1793,0.09459827359379236
1794,0.06512681668501466
1795,0.02979148953676603
1796,-0.007387306849940614
1797,-0.04092336642048316
1798,-0.06591583010499623
1799,-0.07847722689514512
1800,-0.07646897646858918
1801,-0.05933400790235329
1802,-0.03134103152327113
1803,-0.004089082975660858
1804,0.013122913484900618
1805,0.016443238192588104
1806,0.008855503207686943
1807,-0.005337454860845913
1808,-0.024739383571560632
1809,-0.04593602968970532
1810,-0.06512865053949872
1811,-0.07852630373813321
1812,-0.08345543887048734
1813,-0.07855230471579022
1814,-0.06384680239695313
1815,-0.0439056784346985
1816,-0.025420284147349398
1817,-0.013766646451533221
1818,-0.011528937405539475
1819,-0.01818096224635166
1820,-0.03110702273185975
1821,-0.04777787386696109
1822,-0.06394203097161312
1823,-0.07517770296912657
1824,-0.0774342627232855
1825,-0.0659493063645095
1826,-0.03832359377992235
1827,-0.006377168914105255
1828,0.017562905244459543
1829,0.025737937289120074
1830,0.01798834622569368
1831,-0.0008958380387625881
1832,-0.026304317347568565
1833,-0.050636031215102344
1834,-0.06571107241482078
1835,-0.0626000555709314
1836,-0.031066071198200373
1837,0.022636995817677155
1838,0.06542387783845635
1839,0.07927427304345407
1840,0.06840066464653971
1841,0.04616430447887937
1842,0.014668021520497948
1843,-0.019412108484413923
1844,-0.049170876185226725
1845,-0.06762376925283888
1846,-0.06997393252324761
1847,-0.05959206759475306
1848,-0.047244203825236336
1849,-0.03487748934770695
1850,-0.02122080142094517
1851,-0.01020906283310037
1852,-0.015313054532132659
1853,-0.01625298983487188
1854,-0.025188875454984227
1855,-0.03964606844815071
1856,-0.04806518465908821
1857,-0.05105074679287728
1858,-0.04512057406338508
1859,-0.028948616665928992
1860,-0.014622078579986646
1861,-0.0029632406893616466
1862,-0.005040068692291333
1863,-0.016890663785059927
1864,-0.0241215353670936
1865,-0.03227804171475227
1866,-0.03695821749600711
1867,-0.04007768465908337
1868,-0.04419883944424446
1869,-0.03567181918057501
1870,-0.017523787564361643
1871,-0.016685256070223444
1872,-0.005003667325101413
1873,-0.011199700039947585
1874,-0.018980492276268447
1875,-0.02815428683193735
1876,-0.04377697359951547
1877,-0.051081297940333364
1878,-0.05600653292569461
1879,-0.06138548495205696
1880,-0.06095971896084601
1881,-0.047560765713780546
1882,-0.0279066275301868
1883,-0.03255885226162727
1884,-0.033509837979398285
1885,-0.010448921841700551
1886,-0.025881151455960788
1887,-0.0403162436190443
1888,-0.05125615450771861
1889,-0.05689641634854134
1890,-0.05762769381435923
1891,-0.05468243319424688
1892,-0.029858000821197588
1893,-0.009213875454993912
1894,0.010120450716890774
1895,0.027080887728602263
1896,0.01085627835361195
1897,-0.01496139132412243
1898,-0.031005293912010633
1899,-0.040930516690340625
1900,-0.04831414400967173
1901,-0.05410976168545539
1902,-0.06343241183193976
1903,-0.06181775118741093
1904,-0.044724709195228286
1905,-0.010216213101475862
1906,-0.025597090787022738
1907,0.0017377358731383537
1908,-0.014271715420809378
1909,-0.0058057974520618
1910,-0.02170539462002086
1911,-0.03337593295010141
1912,-0.05191917941006477
1913,-0.059385359829986654
1914,-0.05816201388272102
1915,-0.04559314181241094
1916,-0.006610527676668756
1917,0.026850129061612497
1918,0.048978910189544596
1919,0.05286670621005241
1920,0.01961470730868523
1921,-0.009313329190335786
1922,-0.0286613058749061
1923,-0.046871089810452966
1924,-0.05277461153897345
1925,-0.045292830533114066
1926,-0.01931460482509415
1927,0.0005741921719519495
1928,0.02795907071200554
1929,0.014566617709078274
1930,0.00879440091221054
1931,0.0030514352139489795
1932,-0.015298103970611647
1933,-0.03239244601162727
