,solar_erf
1749.0,0.07044271634188835
1749.0833333333333,0.0728374062832946
1749.1666666666665,0.07523209622470085
1749.2499999999998,0.0776267861661071
1749.333333333333,0.08002147610751335
1749.4166666666663,0.0824161660489196
1749.4999999999995,0.08481085599032585
1749.5833333333328,0.08444294217195679
1749.666666666666,0.08407502835361678
1749.7499999999993,0.08370711453524772
1749.8333333333326,0.08333920071687867
1749.9166666666658,0.08297128689853867
1749.999999999999,0.0826033730801696
1750.0833333333323,0.08223545926180054
1750.1666666666656,0.08186754544346053
1750.2499999999989,0.08149963162509148
1750.3333333333321,0.08113171780675148
1750.4166666666654,0.08076380398838241
1750.4999999999986,0.08039589017001335
1750.583333333332,0.0788670327481674
1750.6666666666652,0.0773381753262924
1750.7499999999984,0.07580931790441742
1750.8333333333317,0.07428046048254242
1750.916666666665,0.07275160306066741
1750.9999999999982,0.07122274563879241
1751.0833333333314,0.06969388821691741
1751.1666666666647,0.06816503079504241
1751.249999999998,0.0666361733731674
1751.3333333333312,0.0651073159512924
1751.4166666666645,0.06357845852941742
1751.4999999999977,0.06204960110754241
1751.583333333331,0.05954310696695615
1751.6666666666642,0.05703661282634084
1751.7499999999975,0.05453011868572553
1751.8333333333308,0.05202362454508116
1751.916666666664,0.04951713040446584
1751.9999999999973,0.047010636263850526
1752.0833333333305,0.04450414212323522
1752.1666666666638,0.04199764798259084
1752.249999999997,0.039491153841975525
1752.3333333333303,0.036984659701360216
1752.4166666666636,0.0344781655607449
1752.4999999999968,0.03197167142010053
1752.58333333333,0.028956858187707712
1752.6666666666633,0.025942044955285837
1752.7499999999966,0.022927231722863962
1752.8333333333298,0.019912418490442087
1752.916666666663,0.016897605258020212
1752.9999999999964,0.013882792025627396
1753.0833333333296,0.01086797879320552
1753.1666666666629,0.007853165560783646
1753.2499999999961,0.004838352328361771
1753.3333333333294,0.0018235390959398955
1753.4166666666626,-0.0011912741364819793
1753.499999999996,-0.004206087368903854
1753.5833333333292,-0.007073995083757291
1753.6666666666624,-0.009941902798581669
1753.7499999999957,-0.012809810513435105
1753.833333333329,-0.01567771822825948
1753.9166666666622,-0.018545625943112917
1753.9999999999955,-0.021413533657966353
1754.0833333333287,-0.024281441372790733
1754.166666666662,-0.02714934908764417
1754.2499999999952,-0.030017256802468546
1754.3333333333285,-0.03288516451732198
1754.4166666666617,-0.03575307223214636
1754.499999999995,-0.0386209799469998
1754.5833333333283,-0.04066075655838604
1754.6666666666615,-0.042700533169714165
1754.7499999999948,-0.044740309781042285
1754.833333333328,-0.04678008639237041
1754.9166666666613,-0.04881986300366948
1754.9999999999945,-0.05085963961499761
1755.0833333333278,-0.05289941622632573
1755.166666666661,-0.054939192837653854
1755.2499999999943,-0.05697896944898198
1755.3333333333276,-0.0590187460603101
1755.4166666666608,-0.06105852267163823
1755.499999999994,-0.06309829928296636
1755.5833333333273,-0.06373012301352228
1755.6666666666606,-0.06436194674399102
1755.7499999999939,-0.06499377047445978
1755.8333333333271,-0.06562559420492853
1755.9166666666604,-0.06625741793539727
1755.9999999999936,-0.06688924166586603
1756.083333333327,-0.06752106539633478
1756.1666666666601,-0.06815288912680353
1756.2499999999934,-0.06878471285727228
1756.3333333333267,-0.06941653658774102
1756.41666666666,-0.07004836031820978
1756.4999999999932,-0.07068018404867853
1756.5833333333264,-0.06908502413677256
1756.6666666666597,-0.06748986422466319
1756.749999999993,-0.06589470431255381
1756.8333333333262,-0.06429954440044444
1756.9166666666595,-0.06270438448833505
1756.9999999999927,-0.06110922457622569
1757.083333333326,-0.05951406466411631
1757.1666666666592,-0.057918904752006936
1757.2499999999925,-0.05632374483989756
1757.3333333333258,-0.05472858492778818
1757.416666666659,-0.05313342501567881
1757.4999999999923,-0.05153826510356944
1757.5833333333255,-0.04725850436163378
1757.6666666666588,-0.042978743619465645
1757.749999999992,-0.03869898287726846
1757.8333333333253,-0.03441922213510033
1757.9166666666586,-0.03013946139290315
1757.9999999999918,-0.025859700650705964
1758.083333333325,-0.021579939908537835
1758.1666666666583,-0.01730017916634065
1758.2499999999916,-0.01302041842417252
1758.3333333333248,-0.008740657681975334
1758.416666666658,-0.0044608969398072075
1758.4999999999914,-0.00018113619761002156
1758.5833333333246,0.004027121859030603
1758.6666666666579,0.008235379915671229
1758.7499999999911,0.012443637972311853
1758.8333333333244,0.01665189602892342
1758.9166666666576,0.020860154085564044
1758.999999999991,0.02506841214220467
1759.0833333333242,0.029276670198845296
1759.1666666666574,0.03348492825548592
1759.2499999999907,0.03769318631212654
1759.333333333324,0.04190144436876717
1759.4166666666572,0.046109702425407795
1759.4999999999905,0.050317960482019364
1759.5833333333237,0.052391538363130576
1759.666666666657,0.05446511624398026
1759.7499999999902,0.05653869412485901
1759.8333333333235,0.0586122720057087
1759.9166666666567,0.06068584988655839
1759.99999999999,0.06275942776740807
1760.0833333333233,0.06483300564828683
1760.1666666666565,0.06690658352913652
1760.2499999999898,0.0689801614099862
1760.333333333323,0.07105373929086495
1760.4166666666563,0.07312731717171464
1760.4999999999895,0.07520089505256433
1760.5833333333228,0.07468867581462209
1760.666666666656,0.07417645657633115
1760.7499999999893,0.07366423733804021
1760.8333333333226,0.07315201809977834
1760.9166666666558,0.0726397988614874
1760.999999999989,0.07212757962319646
1761.0833333333223,0.07161536038493459
1761.1666666666556,0.07110314114664365
1761.2499999999889,0.07059092190835271
1761.3333333333221,0.07007870267009084
1761.4166666666554,0.0695664834317999
1761.4999999999886,0.06905426419350896
1761.583333333322,0.06721339505308738
1761.6666666666551,0.06537252591246238
