Time (year),Global yearly mean SAOD at 550nm,Global yearly mean TOA ERF (W/m2)
2015,0.00365064652599589,-0.0197724338544725
2016,0.00379858531952016,-0.0228316154790152
2017,0.00425764908254311,-0.0323215757911678
2018,0.00566051274080264,-0.061295182991055
2019,0.00643372948815939,-0.0772472072184138
2020,0.0101026409732879,-0.152771630863211
2021,0.00872724801083627,-0.1244916739977
2022,0.00717752149012218,-0.092580542691096
2023,0.00533699151243898,-0.054617043655148
2024,0.00486984320082455,-0.0449703348180171
2025,0.00545573090219438,-0.0570683182943438
2026,0.00558397576660662,-0.0597154985216739
2027,0.00474706218383624,-0.0424341335743053
2028,0.00494713169616339,-0.0465666692920803
2029,0.00593145661420186,-0.066886356134861
2030,0.00549773899085523,-0.0579354701848257
2031,0.00631635333717084,-0.0748264458057593
2032,0.00667276723760849,-0.0821762344981824
2033,0.00689793105586381,-0.0868180998116658
2034,0.00733400116620194,-0.0958049327302808
2035,0.00584282093395057,-0.065057445019141
2036,0.00479349694370461,-0.0433933404143364
2037,0.00557987267804694,-0.0596308094327241
2038,0.0338242666744902,-0.634449611950367
2039,0.0596900789334371,-1.1468065417832
2040,0.0277491089935,-0.512177193339856
2041,0.0105170279238495,-0.161284370263714
2042,0.00548135056820619,-0.0575971765349203
2043,0.00461648106829306,-0.0397364694508982
2044,0.00491704805060675,-0.045945329378192
2045,0.0232960676679291,-0.422079528679626
2046,0.0199029859205767,-0.353158024830219
2047,0.00978224817937621,-0.146187392243902
2048,0.00604332196806592,-0.0691943575988413
2049,0.0044650084715466,-0.0366067686584898
2050,0.00600762503845729,-0.068457888037283
2051,0.00504186274061871,-0.048523097934357
2052,0.00569284606624036,-0.0619624901623289
2053,0.0142501694985006,-0.237815364073469
2054,0.0452384440643082,-0.862179217999278
2055,0.0400791821267856,-0.759566228281707
2056,0.0165757433948901,-0.285346396639765
2057,0.0076199502877933,-0.10169584192057
2058,0.00505199044870456,-0.0487322490048526
2059,0.00496776787754341,-0.0469928728907901
2060,0.00668214642979812,-0.0823696121229449
2061,0.0118281850336889,-0.188196206610411
2062,0.00866019131858429,-0.123111902207008
2063,0.00665893028058398,-0.0818909445830325
2064,0.00542297888253191,-0.0563922095181103
2065,0.00424008659521354,-0.0319585967633133
2066,0.00384945962222548,-0.0238835252446845
2067,0.00594576928457858,-0.0671816689759274
2068,0.0607758238292309,-1.16802480088425
2069,0.0381968657380261,-0.721996675194251
2070,0.0145354560453711,-0.243652117456483
2071,0.00760761783531672,-0.101441812747044
2072,0.00533706582667303,-0.054618577900914
2073,0.00505385997853113,-0.0487708571297782
2074,0.00519104428982011,-0.0516036874626319
2075,0.00499734700228969,-0.0476037617301643
2076,0.00601321962640871,-0.0685733126913243
2077,0.00503130358979583,-0.0483050347237537
2078,0.00432112257561772,-0.0336333839015336
2079,0.0270088583923409,-0.497227612835817
2080,0.031925161164826,-0.59630680751277
2081,0.0134393199467167,-0.221216882306585
2082,0.00624974235858166,-0.0734525370535473
2083,0.00487075565133546,-0.0449891815017905
2084,0.00607625570618395,-0.0698737959607486
2085,0.00612256678581503,-0.0708291772556428
2086,0.00534104399056529,-0.054700708448463
2087,0.00456249382656805,-0.0386210487005988
2088,0.00411736507148337,-0.0294220275871555
2089,0.00445721305824024,-0.0364456883400966
2090,0.00653621904698063,-0.0793607157456966
2091,0.00659855891970387,-0.0806461637064012
2092,0.00491567267887604,-0.0459169223557392
2093,0.00664176861906709,-0.0815371005380364
2094,0.00566580005249087,-0.0614043059677814
2095,0.00514764539623402,-0.0507075504628049
2096,0.00417877956099496,-0.0306914616000215
2097,0.00417697082960933,-0.0306540763391397
2098,0.0550255515621547,-1.05538708718449
2099,0.0591281270337842,-1.13581549964581
2100,0.0247538201083959,-0.451618181481773
