Time (year),Global yearly mean SAOD at 550nm,Global yearly mean TOA ERF (W/m2)
2015,0.0042185002888133,-0.0315124452735268
2016,0.00524269475678629,-0.0526701592321574
2017,0.010023020423261,-0.151135584108325
2018,0.00944754914820982,-0.139306899694446
2019,0.00662481074768998,-0.081187452331557
2020,0.00742369267809507,-0.0976528712637663
2021,0.0381861765557865,-0.721783125534594
2022,0.0319417450643092,-0.596640202375415
2023,0.0145588339126104,-0.244130337651578
2024,0.00984764611125431,-0.147531525128424
2025,0.00937027547777857,-0.137718038084182
2026,0.00551069866708294,-0.0582029829243595
2027,0.00447298427206616,-0.036771575103728
2028,0.00406539025216895,-0.0283476501118699
2029,0.00374746767019256,-0.0217746202211229
2030,0.00373764896985465,-0.0215715859258341
2031,0.00511431537399736,-0.0500192976166125
2032,0.00503802221071717,-0.0484437851675041
2033,0.00466290157596405,-0.0406955071129238
2034,0.00470926775314479,-0.0416533778788961
2035,0.00427351716276893,-0.0326495295684795
2036,0.0137747244148239,-0.228084405902226
2037,0.0166393116056869,-0.286644078397276
2038,0.0121811859291087,-0.195435613882355
2039,0.0126984510937332,-0.206039168094058
2040,0.00704686308284363,-0.0898878341780117
2041,0.00607147881310985,-0.0697752478183889
2042,0.00521056973256993,-0.0520068526067058
2043,0.00461944920417686,-0.0397977918294445
2044,0.00450937200104397,-0.0375234493798794
2045,0.00437084332333941,-0.0346609055575931
2046,0.00420396897684042,-0.0312121028506818
2047,0.00391569627505236,-0.025252996638329
2048,0.00409392821168339,-0.0289375684721542
2049,0.00507512848171575,-0.0492100731918206
2050,0.0060878441957077,-0.0701128665769012
2051,0.0136151479341208,-0.22481730898949
2052,0.00990734763678319,-0.148758502223192
2053,0.00786027818586975,-0.10664559425721
2054,0.00582640127655006,-0.0647186235502516
2055,0.00432037144020213,-0.0336178606558262
2056,0.0038249488799105,-0.0233767320707845
2057,0.00378403847954602,-0.0225308258316428
2058,0.00374723189514539,-0.0217697448109816
2059,0.00385108764321394,-0.0239171863688649
2060,0.00628638277198197,-0.0742082884340052
2061,0.0107771342381519,-0.166625925170475
2062,0.00941372629732687,-0.138611466676967
2063,0.00695407909173037,-0.0879754569963518
2064,0.00543820577725556,-0.0567065451674687
2065,0.00447400244166433,-0.0367926137640001
2066,0.00428115092960929,-0.0328072987009913
2067,0.00505668641130422,-0.0488292263581457
2068,0.00582241353945043,-0.0646363353090728
2069,0.00467394930730591,-0.0409237442979159
2070,0.00401024367586153,-0.0272076478248335
2071,0.00391922282090738,-0.0253259069531173
2072,0.00393627896201075,-0.0256785341044754
2073,0.00377807833971157,-0.0224075848566767
2074,0.00388470488419462,-0.0246122475442624
2075,0.00628303403216848,-0.0741392179084656
2076,0.00843105508016627,-0.118396451250214
2077,0.00796359005093104,-0.108773022212568
2078,0.00561662221656252,-0.0603893195377353
2079,0.00440679938538665,-0.0354039364139885
2080,0.00397058242123135,-0.0263877226839136
2081,0.00449633343185859,-0.0372540384934699
2082,0.00658248541633076,-0.0803147357893666
2083,0.00710035627252075,-0.0909903053297521
2084,0.00818672928391896,-0.1133672202147
2085,0.0656185186077828,-1.26238353551413
2086,0.178731647762889,-3.34124391615663
2087,0.0937820106390573,-1.80217776751281
2088,0.0376641845165602,-0.711351933105337
2089,0.209266136643233,-3.8632741386032
2090,0.16766665467578,-3.14810281821488
2091,0.180755422644377,-3.37633860683825
2092,0.128955466799568,-2.45532542251969
2093,0.050857310781531,-0.973332718140682
2094,0.0204448379130183,-0.36418001528094
2095,0.00837928191671917,-0.117330848941117
2096,0.00490804188070423,-0.045759314615013
2097,0.00421757548015634,-0.0314933308684718
2098,0.0281561408142023,-0.520392607531944
2099,0.085563017648547,-1.64621665535839
2100,0.0448161959264441,-0.853800966388707
