Time (year),Global yearly mean SAOD at 550nm,Global yearly mean TOA ERF (W/m2)
2015,0.00364091518252252,-0.019571186477717
2016,0.00377538567965205,-0.0223519070544939
2017,0.00648478262636658,-0.0783000365916056
2018,0.00602288453970196,-0.0687727126777797
2019,0.00440314716514309,-0.0353284646200984
2020,0.0040405081650254,-0.027833289857547
2021,0.00405576713824569,-0.0281487234891799
2022,0.00555082487208005,-0.0590312432853931
2023,0.00705129608791032,-0.0899791987071563
2024,0.00831469434078401,-0.116001421302584
2025,0.00590154565765929,-0.0662691907393633
2026,0.00476954506748248,-0.0428985700031407
2027,0.00643508457633285,-0.077275152847892
2028,0.0448607682494079,-0.854685537867789
2029,0.0282412373583531,-0.52210974932091
2030,0.0112194090671427,-0.175705311737955
2031,0.00559203687251696,-0.0598818813704429
2032,0.00700730980279164,-0.0890726205175325
2033,0.00731149774703943,-0.0953412626751163
2034,0.00497859477253314,-0.0472164796196922
2035,0.00424039313787111,-0.0319649323986808
2036,0.00396223989523517,-0.0262152518166369
2037,0.00809372357641261,-0.111452456827261
2038,0.0163591724341708,-0.280924696707516
2039,0.00924284430375894,-0.135097595393755
2040,0.00580355214437668,-0.0642471198919405
2041,0.004919048056488,-0.0459866375676965
2042,0.00475381543258173,-0.04257363878402
2043,0.00434604219636533,-0.0341483755031142
2044,0.00400644516402105,-0.0271291218291668
2045,0.00444162121400964,-0.0361235029082946
2046,0.00485780305044963,-0.0447216436577132
2047,0.00496589103965962,-0.0469541105082232
2048,0.00570209432268541,-0.0621533551431574
2049,0.00666507016906448,-0.0820175370846791
2050,0.00622122785789479,-0.0728643729661848
2051,0.00465828555572614,-0.0406001431251827
2052,0.00428525017907566,-0.0328920185060001
2053,0.00475507891510307,-0.0425997390646758
2054,0.00682290533581768,-0.0852715229813681
2055,0.00526676152382623,-0.0531670677299189
2056,0.0046056876554968,-0.0395134734946926
2057,0.00483065866825863,-0.0441609612780929
2058,0.00423728426809745,-0.0319006780692996
2059,0.00429455820326571,-0.0330843875517407
2060,0.00570349859214943,-0.0621823362206536
2061,0.00656572801295011,-0.0799692005106832
2062,0.0111705287074059,-0.174702052310608
2063,0.00650013518030141,-0.0786166299222585
2064,0.00471078897892194,-0.0416848038643877
2065,0.00520140147055678,-0.0518175455276785
2066,0.00574476851039105,-0.0630340396933374
2067,0.00566926007002769,-0.0614757157472777
2068,0.00485529809140541,-0.0446699029665799
2069,0.00484655225858429,-0.044489254112725
2070,0.00473947778287015,-0.0422774577176445
2071,0.00488333922191229,-0.0452490936528747
2072,0.00427484139888048,-0.0326768980021822
2073,0.00450951999638728,-0.0375265073299623
2074,0.00770830656604169,-0.103515751012826
2075,0.0104603765101728,-0.160120790029265
2076,0.0123073259489494,-0.198021896920518
2077,0.00788734567807801,-0.107202997173345
2078,0.00490343814201765,-0.0456642276692513
2079,0.0103226082638021,-0.157290851956514
2080,0.010868617074922,-0.168504290558895
2081,0.00794452619899884,-0.108380470368598
2082,0.00961015529207204,-0.142649922909198
2083,0.00668532403358794,-0.0824351266793145
2084,0.00455442271743082,-0.0384542877831853
2085,0.00474709951473914,-0.0424349047398753
2086,0.00775355386212354,-0.104447665150427
2087,0.0155935461924694,-0.265285330633464
2088,0.211118170789855,-3.8944274723921
2089,0.187802894242639,-3.49799742143039
2090,0.0721059196497301,-1.3880750025173
2091,0.0221455404013601,-0.39873580204609
2092,0.00826805164841154,-0.115041305798069
2093,0.00486165347034755,-0.0448011749993801
2094,0.00479195248885006,-0.0433614371932654
2095,0.00519436742701482,-0.0516723048024172
2096,0.00536912613326517,-0.055280464548817
2097,0.00452264346938811,-0.0377976689636792
2098,0.00440115005078661,-0.0352871948666949
2099,0.00757256705495738,-0.100719804554902
2100,0.00982427131772692,-0.147051109806564
