Time (year),Global yearly mean SAOD at 550nm,Global yearly mean TOA ERF (W/m2)
2015,0.0036290720068668,-0.0193262630763093
2016,0.003859610666295,-0.0240934083489381
2017,0.00465146550492387,-0.0404592444881467
2018,0.00505085799477434,-0.0487088623822803
2019,0.00439360792919521,-0.0351313385023242
2020,0.00389882579421287,-0.0249042007729778
2021,0.00432188477639187,-0.0336491358161647
2022,0.00458378412483383,-0.0390609309384239
2023,0.00505148667325615,-0.0487218454005591
2024,0.00610423681351509,-0.0704510416602938
2025,0.00584862883398033,-0.065177290354595
2026,0.00495500229517023,-0.0467292235442386
2027,0.00449681171373243,-0.0372639211079644
2028,0.00474408206842287,-0.0423725715521319
2029,0.010035458432395,-0.151391169482134
2030,0.0108683412199311,-0.168498626842551
2031,0.00664093098793155,-0.0815198298643117
2032,0.011850251364502,-0.188648821864694
2033,0.00962459457838461,-0.142946754229768
2034,0.00806502988307859,-0.110861686882218
2035,0.00789700851425899,-0.107401981035916
2036,0.0063614115432048,-0.0757557581885186
2037,0.00577124686431962,-0.063580465347789
2038,0.00460728589228267,-0.0395464938178861
2039,0.00682057593077438,-0.0852235028729578
2040,0.00621722570477618,-0.0727818198458127
2041,0.00519265480109569,-0.0516369419109388
2042,0.00444100762210504,-0.0361108237170672
2043,0.00483694819280619,-0.0442908762762257
2044,0.00771559606145216,-0.103665888443017
2045,0.007015715282988,-0.0892458645313486
2046,0.00722154577638224,-0.0934877496546499
2047,0.0071833191882871,-0.0927000179427258
2048,0.00526710958373864,-0.05317425406353
2049,0.00449338738117014,-0.0371931649068363
2050,0.00535277987274078,-0.0549429978266854
2051,0.00471130599978923,-0.0416954846416674
2052,0.00460432081413657,-0.0394852338678854
2053,0.0070394507069176,-0.0897350637125641
2054,0.00633481981440762,-0.0752073165870211
2055,0.0413904214732639,-0.785695774840436
2056,0.0875480974597298,-1.68400241971547
2057,0.0397054443480928,-0.752112342045015
2058,0.0147617351096036,-0.248280437047299
2059,0.0131311200905299,-0.214904351584268
2060,0.0095183670358528,-0.140762912991783
2061,0.0110068084907581,-0.171341370985622
2062,0.0822202752893678,-1.58241819516857
2063,0.0491508493698496,-0.939641183166788
2064,0.0175595004161424,-0.305419580271971
2065,0.00861298319098841,-0.122140482918897
2066,0.0066728979325866,-0.0821789291440317
2067,0.00494850953473367,-0.0465951263695258
2068,0.0044922076351818,-0.0371687880289861
2069,0.00892975868664413,-0.128658012215667
2070,0.0109770758839443,-0.170730991376146
2071,0.00853650405662853,-0.12056664585397
2072,0.00728190332239651,-0.0947314706316436
2073,0.00505300301038401,-0.0487531596766226
2074,0.00453084282387515,-0.0379670849905224
2075,0.00447213886466134,-0.0367541062500273
2076,0.00440088084662559,-0.0352816318392719
2077,0.00420027261515568,-0.0311357033938288
2078,0.00549376367680198,-0.0578534113325067
2079,0.00874548546559174,-0.124866915478132
2080,0.00603051295142774,-0.068930095573645
2081,0.00758194788032209,-0.100913041898691
2082,0.0236317822007455,-0.428885978701124
2083,0.0145772159481498,-0.244506354718709
2084,0.00797604516656272,-0.109029486728423
2085,0.00838865105557011,-0.117523689922939
2086,0.00586137361495716,-0.0654402749746811
2087,0.00654351072509478,-0.0795110742616828
2088,0.0103650099018179,-0.158161878007077
2089,0.00669286092664235,-0.0825905184752189
2090,0.00542977860940241,-0.0565325799354663
2091,0.00476566096835408,-0.0428183356176602
2092,0.0231586676302941,-0.419293150223839
2093,0.103572932045022,-1.98630201583647
2094,0.080394452060175,-1.54748098534433
2095,0.0314921211388438,-0.587599218459136
2096,0.0443084704574178,-0.843721987215281
2097,0.0290897051633363,-0.539222778617259
2098,0.0124977828642286,-0.201926268608056
2099,0.00704967752303348,-0.0899458400243805
2100,0.00896517947310552,-0.12938665242286
