Time (year),Global yearly mean SAOD at 550nm,Global yearly mean TOA ERF (W/m2)
2015,0.00364078566746162,-0.000561172847568836
2016,0.0038902329695075,-0.00572394806992019
2017,0.00659633906902247,-0.0616491508245525
2018,0.135901845908257,-2.56496813444148
2019,0.196443226099084,-3.63031386548372
2020,0.0863299668571995,-1.64332547613582
2021,0.0260718955831118,-0.459703769856907
2022,0.0146123919701827,-0.226425950912001
2023,0.0107376994404968,-0.146943260435562
2024,0.00875321878564265,-0.106115619504798
2025,0.00552978433384689,-0.0396254773612707
2026,0.00549093016169425,-0.0388227200176961
2027,0.00497534070141359,-0.0281672880969978
2028,0.00832766509358849,-0.097349950973923
2029,0.00614777854187205,-0.0523895246919978
2030,0.00684872111946997,-0.0668572428875988
2031,0.00776383283239864,-0.0857302367332336
2032,0.00938530874450187,-0.119128693885524
2033,0.00848614647317781,-0.100614828658895
2034,0.00858504246080403,-0.102651924467946
2035,0.00629234609352381,-0.0553742834310428
2036,0.00598636867932759,-0.0490565277412537
2037,0.00513012391547821,-0.0313666931912616
2038,0.0212948990249382,-0.36278463755374
2039,0.0211631079148687,-0.360104196740148
2040,0.00991942469801852,-0.130118330456024
2041,0.00542722579897085,-0.0375064709610015
2042,0.00448172910049506,-0.0179609128727817
2043,0.00520366856724228,-0.0328867047352052
2044,0.00509582392515593,-0.0306577471105119
2045,0.00434253430508533,-0.0150818803048662
2046,0.0040623515393771,-0.00928551075413616
2047,0.00390265863572946,-0.00598108663928416
2048,0.00746030670131817,-0.0794723175139785
2049,0.0286520230987347,-0.511859002575781
2050,0.0216307166811023,-0.369613086928556
2051,0.00982708846746208,-0.128218897427774
2052,0.00587595247238348,-0.0467762030031418
2053,0.00445819174019681,-0.0174741065380393
2054,0.0057559728475993,-0.0442980883027327
2055,0.00602784290148519,-0.0499129917978724
2056,0.00485809442255059,-0.0257434505440581
2057,0.00458647871061078,-0.02012723494088
2058,0.00401490632656139,-0.00830381211361849
2059,0.00385104224156322,-0.00491290843465301
2060,0.00570466253343618,-0.043238210557286
2061,0.112237123951769,-2.13068937142487
2062,0.0806001904351786,-1.53382157491854
2063,0.027762462096002,-0.493892429630256
2064,0.0320863477050689,-0.581072712756492
2065,0.0328113416172382,-0.59565352641989
2066,0.0134306813426409,-0.202217810182942
2067,0.00631968878622109,-0.0559387553707344
2068,0.00528262423735776,-0.0345184260971121
2069,0.0068996979818054,-0.0679090289568723
2070,0.00586578157423658,-0.0465661400992368
2071,0.0176628549273004,-0.288784670311091
2072,0.0277400864906209,-0.493440300682661
2073,0.0141799384256672,-0.217570166525911
2074,0.0225266011825664,-0.38781860923245
2075,0.17545663139994,-3.26829378373313
2076,0.0994219590722724,-1.89118925499955
2077,0.032517180266481,-0.589738734796236
2078,0.012237557829375,-0.177746828733748
2079,0.00780661371589879,-0.086612114542525
2080,0.00845510740230689,-0.0999754329595915
2081,0.0571649900554785,-1.07935387177689
2082,0.277897106541581,-4.96558629541275
2083,0.195485469327056,-3.61395742649721
2084,0.0709432873407656,-1.34783908506263
2085,0.020786176694011,-0.352436009884178
2086,0.0080454842385824,-0.0915354572368729
2087,0.00830408498826769,-0.0968641325880786
2088,0.00773577052973137,-0.0851517447389995
2089,0.00604408873546595,-0.0502484669580528
2090,0.00519251795182729,-0.0326562524182717
2091,0.00492393016305782,-0.0271045107297331
2092,0.00549261124885056,-0.038857453228261
2093,0.00489873975011064,-0.0265837453964251
2094,0.00422539926366446,-0.0126588096536597
2095,0.0040740554787747,-0.00952767220548614
2096,0.00410207056918297,-0.0101073095390057
2097,0.00948478372985971,-0.121175873934059
2098,0.00942054431072517,-0.119853859763473
2099,0.00684453359988801,-0.066770841017363
2100,0.00563064980920056,-0.0417092907643006
