Time (year),Global yearly mean SAOD at 550nm,Global yearly mean TOA ERF (W/m2)
2015,0.00390830749947943,-0.025100235008334
2016,0.00416505461252943,-0.0304077744587228
2017,0.0041975866684339,-0.0310801878509715
2018,0.00391642462422188,-0.0252680550676559
2019,0.00508196524480994,-0.0493512572676363
2020,0.00507229289048204,-0.0491515159099128
2021,0.00523231646610922,-0.0524558741294101
2022,0.00536632082337558,-0.0552225496317009
2023,0.00515092036870735,-0.0507751762164353
2024,0.0324816755501699,-0.607491689410422
2025,0.0250942492057656,-0.458510146648148
2026,0.0115034124777037,-0.181533453783497
2027,0.00657375670218264,-0.0801347516653577
2028,0.0046988880330677,-0.0414389489108496
2029,0.00479512543034082,-0.0434269793948398
2030,0.00567102886165646,-0.0615122209639772
2031,0.00494275776636179,-0.0464763324269653
2032,0.00499432566842086,-0.0475413638516752
2033,0.0042025387219845,-0.0311825411952859
2034,0.00428080178742707,-0.0328000829109711
2035,0.00410322610094619,-0.0291297648280754
2036,0.00502458136484025,-0.0481662089178748
2037,0.29088359845608,-5.18286182493926
2038,0.311146224727233,-5.49411573641187
2039,0.158433052763473,-2.98528504639848
2040,0.0480939385787038,-0.918745206049682
2041,0.0170982743778628,-0.296010899145035
2042,0.00803746328281822,-0.110294106513541
2043,0.00531376432467524,-0.05413750389961
2044,0.00473373094355123,-0.0421587407643774
2045,0.00426038116258936,-0.0323780414658595
2046,0.00593028813953647,-0.0668622468502134
2047,0.00501941744097758,-0.0480595641452017
2048,0.00491863602088701,-0.0459781273771344
2049,0.00536271948811725,-0.055148200732891
2050,0.00456128622359825,-0.0385960979429513
2051,0.004613657320358,-0.0396781299920482
2052,0.00411202205331098,-0.029311584018366
2053,0.00758586976953733,-0.100993829077256
2054,0.00986912462365812,-0.147972956836826
2055,0.00783967650343069,-0.106221332139144
2056,0.00566089114851713,-0.0613029928346985
2057,0.00499516891985423,-0.0475587790596801
2058,0.00443819197872383,-0.0360526414923686
2059,0.00464375534354796,-0.0402999554808988
2060,0.00444840335200191,-0.0362636476949104
2061,0.00487140227178854,-0.0450025374499253
2062,0.00458960389384635,-0.0391811724814987
2063,0.00507391839056907,-0.0491850838386371
2064,0.00452560472487091,-0.0378588549330246
2065,0.0045401109413125,-0.0381585822506626
2066,0.0055420988565012,-0.0588511290846206
2067,0.00630425068227044,-0.0745768249374366
2068,0.00818344885965965,-0.113299687214343
2069,0.00929282334165177,-0.136125383746146
2070,0.00668669255414003,-0.0824633422212703
2071,0.00450469963870955,-0.037426906577166
2072,0.00429903154986471,-0.0331768376216274
2073,0.00480309533246946,-0.0435916096040826
2074,0.00480806796954212,-0.0436943261708459
2075,0.00526484114914926,-0.0531274180367249
2076,0.00747929541859984,-0.0987983863777707
2077,0.012959600028466,-0.211390445363175
2078,0.00796480700720923,-0.108798080820267
2079,0.00802523642061528,-0.110042357477734
2080,0.00643942404581587,-0.0773646443388501
2081,0.00522992857989514,-0.0524065700845716
2082,0.00443984569265978,-0.0360868137218306
2083,0.00414729624871682,-0.0300407130609283
2084,0.00727644344377514,-0.0946189680593864
2085,0.00660935112345103,-0.0808686907733575
2086,0.00526199479566516,-0.0530686496553782
2087,0.00435861288553938,-0.0344081578675778
2088,0.00430474974827224,-0.0332950142790436
2089,0.00482735395438847,-0.0440926995275296
2090,0.00461635894274082,-0.0397339463046503
2091,0.00518695152242592,-0.0515191782065235
2092,0.00632034767377765,-0.0749088295269737
2093,0.00556425904721775,-0.0593085358120802
2094,0.00801079605016369,-0.10974502871503
2095,0.0294014273808586,-0.545506361382622
2096,0.0210577844596704,-0.376640966575245
2097,0.0154941804524631,-0.263254719203592
2098,0.0155156369600567,-0.263693215679579
2099,0.00862844535460351,-0.12245865868975
2100,0.00553245170572392,-0.0586519998487319
