Time (year),Global yearly mean SAOD at 550nm,Global yearly mean TOA ERF (W/m2)
2015,0.00361392887038182,-1.16147962155089e-05
2016,0.00362211386642522,-0.000181043425857896
2017,0.00363468137401484,-0.000441186923017456
2018,0.00431457653916938,-0.0145099337024548
2019,0.00492588694528496,-0.0271513247349649
2020,0.00417644316537755,-0.011652379813823
2021,0.00450023196580931,-0.0183499507149406
2022,0.00424900242297696,-0.0131534564989401
2023,0.00433119488848016,-0.0148536895457065
2024,0.00394222125107059,-0.00680614790567413
2025,0.00462792132021846,-0.0209906086623082
2026,0.00565427665340232,-0.0422037322726239
2027,0.00529934810903519,-0.0348703893841118
2028,0.00438118418097947,-0.0158876995300807
2029,0.0040444234985707,-0.0089209307556923
2030,0.00676324892785658,-0.0650999575988019
2031,0.00911567520160828,-0.113584987526333
2032,0.00818257489415975,-0.0943668325101518
2033,0.0094046907634793,-0.119533922119326
2034,0.00982236463747618,-0.128128050218409
2035,0.00995393922065797,-0.130834607634484
2036,0.0060529479701595,-0.0504377616672503
2037,0.00482543075669492,-0.0250745048367914
2038,0.00460078668636236,-0.0204294837010421
2039,0.00682690338069716,-0.0664134190661407
2040,0.00796538276223147,-0.0898909650687719
2041,0.0052494604769552,-0.0338394292853482
2042,0.00507897028765461,-0.0303157512898008
2043,0.00530784700903822,-0.0350460195078892
2044,0.00473869109949561,-0.0232810911077979
2045,0.00485911866998316,-0.0257709882025109
2046,0.00514385563691446,-0.0316568674615036
2047,0.00548744558613466,-0.0387570825777514
2048,0.00466540263019533,-0.0217656704980631
2049,0.00415140227958033,-0.0111343187774069
2050,0.00476498476782469,-0.0238247507494879
2051,0.00614234508490605,-0.0522836904405547
2052,0.00626163165644172,-0.0547465388338715
2053,0.00543023296844859,-0.0375749649700999
2054,0.00426687248977708,-0.0135231285255144
2055,0.00382034811833137,-0.00428404985966638
2056,0.00582063662120613,-0.0456400767516173
2057,0.00738351498768006,-0.0778951171311356
2058,0.0059510269742267,-0.0483330304620155
2059,0.00543534733530422,-0.0376806399216246
2060,0.0044229689936455,-0.0167519632310462
2061,0.00433258529182477,-0.0148824502223246
2062,0.0051147574071641,-0.031055446514374
2063,0.00448991266975023,-0.0181365295439159
2064,0.00398781268546914,-0.00774955878978655
2065,0.00895157161608638,-0.110206405798638
2066,0.00852399094933007,-0.101400725690125
2067,0.005351072373298,-0.0359392503658549
2068,0.00531930043121061,-0.0352827025945841
2069,0.00518553589644579,-0.0325183114146224
2070,0.00425265855953218,-0.0132290902965357
2071,0.0105370948461288,-0.14282613534103
2072,0.0785265187218372,-1.49404188626858
2073,0.0443532583307879,-0.826368363157169
2074,0.0160059565522898,-0.254943619330775
2075,0.00759282455629937,-0.0822110693073901
2076,0.00724650829029511,-0.0750695570921016
2077,0.00797443199376358,-0.0900774698734662
2078,0.00953993957141435,-0.122317217400178
2079,0.00581155918148411,-0.0454525871934555
2080,0.00766807843773838,-0.0837625795717964
2081,0.0123568599572799,-0.180201345757695
2082,0.00871063887551434,-0.10524505274798
2083,0.00671841001950607,-0.06417469046315
2084,0.00804594099896685,-0.0915512122373583
2085,0.00572861058258841,-0.0437392503662752
2086,0.0044843236360714,-0.0180209375894167
2087,0.00562619087007148,-0.0416235337349282
2088,0.00896006966282847,-0.110381378083549
2089,0.00689750151514992,-0.0678700603671403
2090,0.00665840968605074,-0.0629364969178084
2091,0.0247912110225289,-0.433771965854778
2092,0.0153833846859715,-0.242211139392235
2093,0.00768514961298232,-0.084114519969646
2094,0.00630439587073915,-0.0556293979995866
2095,0.00565954766078657,-0.0423126193823199
2096,0.00444451690823263,-0.0171976392914154
2097,0.0350111479575475,-0.639836760103991
2098,0.0327893105415739,-0.595216788041103
2099,0.0130988724721746,-0.195421645637431
2100,0.00959116992769989,-0.123371392417551
