Time (year),Global yearly mean SAOD at 550nm,Global yearly mean TOA ERF (W/m2)
2015,0.00389343470714865,-0.00577318052884073
2016,0.0192276750986461,-0.320682808722761
2017,0.0187097834570907,-0.310125797230749
2018,0.00922336782992416,-0.115778604307129
2019,0.00678798844673467,-0.0655871230591707
2020,0.00511233826581959,-0.0309820805129603
2021,0.00445628503418898,-0.0174176555063373
2022,0.00606072778249088,-0.0505750680671307
2023,0.00584203423889464,-0.0460586783209027
2024,0.00444362138501067,-0.0171557368810043
2025,0.00618235784508941,-0.053086506177942
2026,0.00611443784760384,-0.0516841202408706
2027,0.00499382876339443,-0.0285324603349375
2028,0.00543374773327888,-0.0376242310731511
2029,0.00608572419963037,-0.0510912232553774
2030,0.00452140451896801,-0.0187644507607264
2031,0.00434388093002341,-0.0150927177022446
2032,0.00516465792465621,-0.0320634481903543
2033,0.00678754884587168,-0.0655780521514702
2034,0.00712958303792437,-0.0726345231449048
2035,0.0056403085064211,-0.0418918266128456
2036,0.00425329072155971,-0.0132187827606922
2037,0.00666185265098557,-0.0629842208150016
2038,0.00651132066871356,-0.0598774560937227
2039,0.00473259778688988,-0.0231317272950989
2040,0.00449440390613842,-0.0182060371881045
2041,0.00461484812043718,-0.0206968896048523
2042,0.00478544379238052,-0.0242243883177287
2043,0.00513150076215633,-0.0313781466983045
2044,0.0244234845112028,-0.426295248156721
2045,0.0272180066223771,-0.482871475782991
2046,0.0131882479847095,-0.197230994034357
2047,0.00677879832335718,-0.0653974893876336
2048,0.00523884747917281,-0.0335967363182259
2049,0.0047707676942645,-0.0239209463795596
2050,0.00459823717147612,-0.0203533839033656
2051,0.00399036406885992,-0.00777896151445455
2052,0.00460188106174358,-0.0204287381291126
2053,0.00547650282382813,-0.0385076339349966
2054,0.00461105927284539,-0.0206185387286331
2055,0.00549459593876478,-0.038881461309276
2056,0.00475140666662149,-0.0235206323662214
2057,0.00396552519154697,-0.00726498359145451
2058,0.00441908007734966,-0.0166481466082001
2059,0.00450327919951124,-0.018389593362442
2060,0.100657796520517,-1.91440407544372
2061,0.137369615270537,-2.59155175581136
2062,0.0569659155533421,-1.07543136752891
2063,0.0187116673947493,-0.310164210446428
2064,0.0100233646695575,-0.13223933122734
2065,0.00624577109326907,-0.0543957525152483
2066,0.00789744706811584,-0.0884674555845942
2067,0.00668033412111336,-0.0633656196812344
2068,0.00492263434961713,-0.0270607149321298
2069,0.00508408960889738,-0.0303982002699562
2070,0.00473773265658141,-0.0232379000467167
2071,0.00425537643979211,-0.0132619295124514
2072,0.00404838882856572,-0.00897958783462675
2073,0.0039429998199706,-0.00679886679657239
2074,0.00380247596907975,-0.00389077416267327
2075,0.00439408497981893,-0.0161311577502949
2076,0.00711333624131937,-0.0722993918111071
2077,0.00532374652822721,-0.0353512198246435
2078,0.00489745115710227,-0.0265400977668932
2079,0.0047224641326432,-0.0229221939994508
2080,0.00447400375065549,-0.0177841210720348
2081,0.00415739672780534,-0.0112349495745261
2082,0.00384817086669892,-0.00483645914820856
2083,0.0045623315049233,-0.0196108540771019
2084,0.00473456369134784,-0.0231723760026578
2085,0.0041149504416821,-0.0103567696960538
2086,0.0043337180040365,-0.0148824974522655
2087,0.00515258668768614,-0.0318139591247376
2088,0.00467279164353729,-0.0218950865681122
2089,0.00457072629559321,-0.0197844608862581
2090,0.00431804409447924,-0.0145582782504638
2091,0.007025070042465,-0.0704785827305514
2092,0.0128494962068902,-0.190284468075788
2093,0.0175564600488869,-0.286596111962137
2094,0.0125314175994571,-0.183759728685546
2095,0.00738208521460464,-0.0778423203092601
2096,0.0266894614366704,-0.472182985406463
2097,0.0264452278630216,-0.467242070025726
2098,0.0123955412438597,-0.180971867328988
2099,0.00671493004866554,-0.0640795508395496
2100,0.074169277446632,-1.41015250411282
