Time (year),Global yearly mean SAOD at 550nm,Global yearly mean TOA ERF (W/m2)
1750,0.0036139205163229,-2.57211305447425e-05
1751,0.0036129653247611,-5.94868034101692e-06
1752,0.00361278058150828,-2.12449575252016e-06
1753,0.00361275174626353,-1.52760623910453e-06
1754,0.00361276242703067,-1.74869810092293e-06
1755,0.00377058465492212,-0.00326841075674844
1756,0.00859051644571277,-0.102785220529301
1757,0.00580508729158367,-0.0453331608133526
1758,0.00417789494079615,-0.0116966858389319
1759,0.00374557648982541,-0.00275081700419383
1760,0.00545521390128709,-0.0381053781702032
1761,0.0493799957022255,-0.926030866339338
1762,0.0371858766120247,-0.683428577405422
1763,0.0146920974231588,-0.228078163184626
1764,0.00649218291332679,-0.0595200175454136
1765,0.00430108994756731,-0.0142452245189617
1766,0.00724705263570225,-0.0750950116541365
1767,0.00733836073861217,-0.0769781466272707
1768,0.00456897843684625,-0.0197859579328717
1769,0.00383026970295039,-0.00450365931237981
1770,0.00700904176149962,-0.0701854757492243
1771,0.00619556092169256,-0.0533966891526951
1772,0.00436841060648862,-0.0156377562871264
1773,0.00379911594428325,-0.00385890677070552
1774,0.00365616058419347,-0.000900070982575118
1775,0.0036226231818565,-0.000205865299379693
1776,0.00361497574623232,-4.7564351003837e-05
1777,0.0036132464487488,-1.17679443963459e-05
1778,0.00361286939821262,-3.96300126315197e-06
1779,0.00361277651380735,-2.04029435196817e-06
1780,0.00361276247723266,-1.74973728366279e-06
1781,0.00361275479673081,-1.59075090809813e-06
1782,0.00361275588275655,-1.6132316380757e-06
1783,0.0251308718002895,-0.44066841501071
1784,0.0589929999105133,-1.1152073807092
1785,0.0203388164903195,-0.343351589938474
1786,0.0116724004595635,-0.16616573163031
1787,0.00771414271211922,-0.0847264505513606
1788,0.00476091002526432,-0.0237547633810406
1789,0.00389278658622986,-0.00579743679963127
1790,0.00367777454647791,-0.00134745571286727
1791,0.00362752371560898,-0.000307305090650956
1792,0.00361607611923409,-7.03420072691641e-05
1793,0.00361349677738118,-1.69497434922561e-05
1794,0.00361291970077537,-5.0042640852177e-06
1795,0.00361279262195296,-2.3737329313156e-06
1796,0.00690473808080802,-0.068033597939922
1797,0.00977431993021392,-0.127153848477087
1798,0.00712871723541648,-0.0726542108527621
1799,0.00460625125737527,-0.0205567534744118
1800,0.00385527671124502,-0.00502118529011777
1801,0.0036690446238954,-0.00116675728985317
1802,0.00362553515253498,-0.000266142405186487
1803,0.00361562964902477,-6.11001032783665e-05
1804,0.00361339561490206,-1.48556817821222e-05
1805,0.0036128976798584,-4.54843120947235e-06
1806,0.00361278717134976,-2.26090545675239e-06
