Time (year),Global yearly mean SAOD at 550nm,Global yearly mean TOA ERF (W/m2)
1850,0.00276853539732475,-0.00152237704506665
1851,0.00322886801740792,-0.0110483687503946
1852,0.0110110438201492,-0.171428564664469
1853,0.00323219025321011,-0.0111171022120393
1854,0.00277017889362155,-0.00155639488843385
1855,0.0027711045173608,-0.00157555385033442
1856,0.00277223397724615,-0.00159893187723286
1857,0.00277357024261378,-0.00162659041526594
1858,0.00277511181348121,-0.00165849840012274
1859,0.00277685830086796,-0.00169464776091461
1860,0.00277881120577146,-0.00173506954346146
1861,0.022197441858696,-0.399789685371192
1862,0.028669130207158,-0.530742121205415
1863,0.0124081475735876,-0.200089083348523
1864,0.00507292853545363,-0.0491648922238714
1865,0.00281967427770794,-0.00258084695162705
1866,0.0027948884041842,-0.00206783698055631
1867,0.00279823227313176,-0.00213704803747961
1868,0.00280182807638698,-0.00221147334664857
1869,0.00280563054051382,-0.00229017579539506
1870,0.00280963832584201,-0.00237312760692838
1871,0.0028138498473905,-0.00246029592494837
1872,0.00350873347230133,-0.0168376814578389
1873,0.0151885725782384,-0.257008381665021
1874,0.00352197262107299,-0.0171115071082282
1875,0.00283275740238343,-0.00285163209550443
1876,0.00283799750642701,-0.00296008702220075
1877,0.00284344335127858,-0.00307279958354452
1878,0.00284909504018918,-0.00318977184694127
1879,0.00308513566437398,-0.00807448333397488
1880,0.00721367403414291,-0.0933257890394673
1881,0.00722129784206703,-0.0934828897667521
1882,0.00310521201058873,-0.00848989742448638
1883,0.0424129270640615,-0.806048095974107
1884,0.112755041383749,-2.15734698356228
1885,0.0465212252475118,-0.887610725922254
1886,0.017435197940899,-0.302884572520466
1887,0.0142965195701433,-0.238764013235395
1888,0.00548052629434381,-0.0575804111431769
1889,0.00292482642080682,-0.00475711051079131
1890,0.0135302938146936,-0.223080079284271
1891,0.0226490158876471,-0.4089546636427
1892,0.0107672608161397,-0.166423437794298
1893,0.00295852862863579,-0.005454574134627
1894,0.00296746861785157,-0.00563958232057253
1895,0.00297661388877556,-0.00582883698779628
1896,0.0029859648010979,-0.00602234546318234
1897,0.0029955207635035,-0.00622009539082542
1898,0.00300528282253195,-0.00642210830574358
1899,0.00301524993536574,-0.00662836250364306
1900,0.00302542228172105,-0.00683886157656203
1901,0.00303580087032427,-0.00705362626843845
1902,0.014853325155167,-0.250153772474268
1903,0.0502435130973669,-0.961221057380689
1904,0.0274879655254384,-0.506904831031242
1905,0.00918230286066998,-0.1338527775226
1906,0.00394326153528324,-0.0258231435573508
1907,0.0120454889718382,-0.192653266069449
1908,0.00640338422309691,-0.0766216442015519
1909,0.00312622497168458,-0.00892468275320518
1910,0.0031384525953674,-0.00917768388897442
1911,0.00315088621435968,-0.00943494409094817
1912,0.032230029787946,-0.602435101623262
1913,0.0276423132215468,-0.510021348228056
1914,0.012586312445091,-0.203741122000659
1915,0.00450096159414105,-0.0373499186666846
1916,0.00323631469152334,-0.0112024320573526
1917,0.00322990034646612,-0.0110697265453224
1918,0.0032436738584111,-0.0113546838111391
1919,0.00325775239837377,-0.0116459476807065
1920,0.00327203400515677,-0.0119414085084366
1921,0.00328652223573328,-0.012241139700196
1922,0.0102350720121675,-0.15549278991616
1923,0.00702089535396884,-0.089352878648394
1924,0.00333122039423985,-0.0131658237588904
1925,0.00334653206693242,-0.0134825713678681
1926,0.00336204690162457,-0.0138035167764138
1927,0.0033777692928663,-0.0141287506940942
1928,0.00531332180288698,-0.0541286173037071
1929,0.0147473335838329,-0.247986146266048
1930,0.00342616684689526,-0.0151298720394096
1931,0.00344270999802427,-0.0154720621415618
1932,0.0127203923796618,-0.206489074823183
1933,0.00538088771411446,-0.0555235272920512
1934,0.00349357420118567,-0.0165241374161779
1935,0.00351093902861267,-0.0168832992867212
1936,0.0035285101625679,-0.0172467219079986
1937,0.00354628649518802,-0.0176143821419345
1938,0.00356426884388882,-0.0179862966681221
1939,0.00358245634471409,-0.0183624473887865
1940,0.00360084950295443,-0.0187428445226001
1941,0.00361944749671948,-0.0191274708375791
1942,0.00363825266704879,-0.0195163745113389
1943,0.00365726236200373,-0.0199095004599665
1944,0.00367647781835746,-0.0203068740184811
1945,0.0036958971996813,-0.0207084569656966
1946,0.00371552471740592,-0.0211143361437757
1947,0.00373535619101066,-0.0215244248526488
1948,0.00375539285891409,-0.0219387484496523
1949,0.00377563604499508,-0.0223573340545923
1950,0.00379608359176624,-0.0227801367974687
1951,0.00381673772823207,-0.0232072025079043
1952,0.00383759709745989,-0.0236385028649726
1953,0.00385866111401082,-0.0240740254988163
1954,0.00387993215166475,-0.0245138192212996
1955,0.00390140820985414,-0.024957842397662
1956,0.00392308872249498,-0.0254060830514475
1957,0.00394497638504647,-0.0258585966342406
1958,0.00396706836685912,-0.0263153243450884
1959,0.00398936602727708,-0.0267762940062808
1960,0.00401186854137925,-0.0272414882802241
1961,0.00459121940535289,-0.0392148000755395
1962,0.0141243929436215,-0.235241786584727
1963,0.058621707298242,-1.12590553804701
1964,0.0461454593171976,-0.880164506104693
1965,0.0301190703105,-0.559965146120949
1966,0.00746587915648304,-0.0985222425162273
1967,0.0204979172227389,-0.365259643809546
1968,0.0146561399600837,-0.246120967964866
1969,0.0103362330218046,-0.157570987889954
1970,0.0105431039172914,-0.16182017904302
1971,0.0174003530981108,-0.302173825857208
1972,0.0116256188241406,-0.184041035484647
1973,0.00510235852525891,-0.0497726371475554
1974,0.0117073480267864,-0.185717719934357
1975,0.024073586790312,-0.437840116840443
