Time (year),Global yearly mean SAOD at 550nm,Global yearly mean TOA ERF (W/m2)
2015,0.00382632181880255,-0.0234051197915381
2016,0.00560681680417608,-0.0601869386513046
2017,0.00561316808685077,-0.0603180275221189
2018,0.00579691759008188,-0.0641102104148779
2019,0.00741644616453013,-0.0975035755348924
2020,0.00764862160831748,-0.10228641403506
2021,0.00548907021746227,-0.0577565280294503
2022,0.00497342539623795,-0.0471097173341836
2023,0.00448611539480305,-0.0370429047108805
2024,0.00480831676543115,-0.0436994653741405
2025,0.00414328826384155,-0.0299578680107132
2026,0.0214323178051814,-0.384251316972095
2027,0.0623820694489057,-1.19937276748454
2028,0.0320366180720959,-0.598547378114854
2029,0.0122375333415067,-0.196590960477159
2030,0.00654837336996709,-0.0796113441326327
2031,0.00552276557129913,-0.0584520640089928
2032,0.00590661499090777,-0.0663737897318714
2033,0.00546605930771174,-0.0572815257627721
2034,0.00482275607742609,-0.043997725988878
2035,0.00460883708812907,-0.0395785422026923
2036,0.00531608663714024,-0.0541854499877608
2037,0.00871986681854327,-0.124339801653722
2038,0.00840298140078635,-0.117818641800482
2039,0.00571210176435246,-0.0623598861561641
2040,0.00766842037810577,-0.102694219387477
2041,0.00778453567846636,-0.105085742885891
2042,0.0074230722285468,-0.0976400885428311
2043,0.00520000473107942,-0.0517887053759672
2044,0.27092669038399,-4.87007699702119
2045,0.87903878610094,-12.0825439942805
2046,0.563530731422839,-8.88584996167917
2047,0.260617004548186,-4.70603128721725
2048,0.0873169308472976,-1.6796060478452
2049,0.0239871068401796,-0.436087525462395
2050,0.00853046131058943,-0.120442289188856
2051,0.00507679329689469,-0.0492444529117298
2052,0.0078893313462208,-0.107243887593727
2053,0.00702390764332493,-0.0894147145644009
2054,0.00552191247458076,-0.0584344547646755
2055,0.00456588142307777,-0.0386910409972676
2056,0.0059226890703205,-0.0667054536125442
2057,0.00805702988513841,-0.110696973159269
2058,0.00593901803127046,-0.0670423711226977
2059,0.00492683845066875,-0.0461475398464579
2060,0.00638689647966548,-0.0762813590450902
2061,0.0724522196038741,-1.39476156341367
2062,0.0561073153826607,-1.07662642865462
2063,0.0214097545571562,-0.383792922524329
2064,0.00922978079682518,-0.134828943893837
2065,0.00562266456711508,-0.0605140309239592
2066,0.00527704352354104,-0.0533793573688571
2067,0.00457958001654992,-0.0389740699307444
2068,0.00495232725256766,-0.0466739750911348
2069,0.00565827086910393,-0.0612489136109624
2070,0.0057188901479167,-0.0624999818976038
2071,0.00546098872478339,-0.0571768548815105
2072,0.00412863082195574,-0.0296548958489918
2073,0.00491126587687724,-0.045825903700598
2074,0.00781289796608689,-0.105669853484176
2075,0.00564903838725215,-0.0610583658365009
2076,0.00474471177847495,-0.0423855798636815
2077,0.00455402115120091,-0.0384459908025029
2078,0.00434966243192788,-0.034223190618671
2079,0.00478581799701481,-0.043234718823982
2080,0.00418289131997307,-0.0307764486402529
2081,0.00444913703472579,-0.0362788083157208
2082,0.00684468928005533,-0.0857205881857619
2083,0.00685801450454849,-0.0859952762565453
2084,0.00797181897855771,-0.108942465231945
2085,0.00713456978455754,-0.0916953998690567
2086,0.00580645661642225,-0.0643070557722792
2087,0.0045375133552626,-0.0381049112699232
2088,0.00398886307525929,-0.0267656463831062
2089,0.00400813526240806,-0.0271640609853684
2090,0.00439946298964053,-0.0352523322032186
2091,0.00470687678251727,-0.0416039843198612
2092,0.0043524195091031,-0.0342801676816745
2093,0.00490614230719199,-0.045720080329229
2094,0.00547047264613183,-0.0573726288642749
2095,0.00544777099273991,-0.0569040017733113
2096,0.00529653039580275,-0.0537816915078254
2097,0.00659870397574239,-0.0806491546679696
2098,0.0074328127314433,-0.0978407649118779
2099,0.00714988611535367,-0.0920110410622212
2100,0.00497649823566345,-0.0471731802521904
