Time (year),Global yearly mean SAOD at 550nm,Global yearly mean TOA ERF (W/m2)
2015,0.00366343359116244,-0.0200368715813233
2016,0.0039407357902494,-0.0257706757988696
2017,0.107244013875655,-2.05487558588364
2018,0.161533377905006,-3.04012137339862
2019,0.0681904834067695,-1.31231216597383
2020,0.022499414883829,-0.405918630422811
2021,0.0086780851997371,-0.123480099302877
2022,0.00579625778873611,-0.0640965948225322
2023,0.00565350541980432,-0.0611505604547062
2024,0.00565513025702859,-0.0611840951982955
2025,0.00704445755002506,-0.0898382558171698
2026,0.00565865454003372,-0.0612568320982633
2027,0.00458497172938834,-0.0390854679491935
2028,0.00870597657166659,-0.124053998668983
2029,0.00976968766702124,-0.145929224205342
2030,0.00684784362655684,-0.0857856126633515
2031,0.00801493273966108,-0.109830204030347
2032,0.00581593813450001,-0.0645027125404153
2033,0.00476593874349771,-0.0428240736684675
2034,0.00497391780463614,-0.047119886988302
2035,0.0973119090640463,-1.86876756369525
2036,0.0781578291384491,-1.50459608150548
2037,0.028095490352423,-0.519168667909189
2038,0.148244416021995,-2.80387365269339
2039,0.302614685989194,-5.36383117211991
2040,0.181218535188886,-3.38435955430219
2041,0.0598234223369656,-1.14941365732408
2042,0.0179692474954878,-0.313774488216971
2043,0.0105685251455325,-0.162342029822084
2044,0.00651767832799606,-0.0789783907231665
2045,0.00524445988507892,-0.0527066043860618
2046,0.00547678127577227,-0.0575028551443898
2047,0.00475605781919824,-0.0426199606684885
2048,0.00573404938603452,-0.0628128283032738
2049,0.00513267004104013,-0.0503983176584402
2050,0.0051146522528086,-0.0500262541563934
2051,0.00549679202935559,-0.0579159229351878
2052,0.00463276131048534,-0.0400728208069846
2053,0.0207051664439743,-0.369473320394281
2054,0.0773922881496331,-1.48989558681131
2055,0.0434895756696485,-0.827455125130858
2056,0.0157492021311215,-0.268465867785244
2057,0.00695569004114042,-0.0880086618983846
2058,0.00683580521260108,-0.0855374487234364
2059,0.00535568149505075,-0.0550029018977641
2060,0.00559825329918334,-0.0600101887523049
2061,0.00542134088743451,-0.0563583953620636
2062,0.00525242330340395,-0.0528710267659682
2063,0.00483598141639056,-0.044270906814144
2064,0.00421793058143138,-0.0315006702802388
2065,0.00411232001458473,-0.0293177430820962
2066,0.00388061201259645,-0.0245276256637749
2067,0.0139321084740774,-0.231306105550388
2068,0.0844145795642101,-1.62432199499022
2069,0.0444812266696089,-0.847151986307627
2070,0.0158119144955556,-0.269747137423547
2071,0.00751785982169963,-0.0995928441021458
2072,0.00810642403144181,-0.111713939088974
2073,0.00608151045517824,-0.0699822018108485
2074,0.00511185761831324,-0.0499685449467969
2075,0.00721132531944216,-0.0932771406072517
2076,0.00614472426951963,-0.0712862627080376
2077,0.00485254454299794,-0.0446130274369814
2078,0.00410545375784686,-0.0291758123835074
2079,0.00380678129297521,-0.0230010843077383
2080,0.0048819771331725,-0.0452209600300818
2081,0.00448430280238806,-0.037005451157636
2082,0.00395463102317391,-0.0260579470350107
2083,0.00388321763011104,-0.02458149796653
2084,0.00390658137606094,-0.0250645475488746
2085,0.00382903269471544,-0.0234611713985837
2086,0.00413641327075638,-0.0298157611254935
2087,0.00424311287266088,-0.0320211438962494
2088,0.00403702915635025,-0.0277613710851243
2089,0.00386144152209408,-0.024131262917769
2090,0.00371094276597187,-0.0210193362264178
2091,0.00559490967907931,-0.0599411763520516
2092,0.00551600398411049,-0.0583124939110583
2093,0.01131849894313,-0.177738960794662
2094,0.00860377753146924,-0.12195104927862
2095,0.00548848049329154,-0.0577443547959464
2096,0.00683260163059651,-0.0854714084963905
2097,0.00675233794122142,-0.0838167439730566
2098,0.00500652731443013,-0.0477933563038102
2099,0.00486508584373955,-0.044872071232561
2100,0.00744279356760445,-0.0980463906616093
