,clim_gamma,clim_c1,clim_c2,clim_c3,clim_kappa1,clim_kappa2,clim_kappa3,clim_epsilon,clim_sigma_eta,clim_sigma_xi,clim_F_4xCO2,cc_r0,cc_rU,cc_rT,cc_rA,ari_BC,ari_OC,ari_Sulfur,ari_NOx,ari_VOC,ari_NH3,ari_CH4,ari_N2O,ari_Equivalent effective stratospheric chlorine,aci_shape_so2,aci_shape_bc,aci_shape_oc,aci_beta,o3_CH4,o3_N2O,o3_Equivalent effective stratospheric chlorine,o3_CO,o3_VOC,o3_NOx,fscale_CH4,fscale_N2O,fscale_minorGHG,fscale_Stratospheric water vapour,fscale_Land use,fscale_Volcanic,fscale_solar_amplitude,fscale_Light absorbing particles on snow and ice,fscale_CO2,cc_co2_concentration_1750,seed
28036,3.834999115813716,3.8542403803338097,11.190285810388826,173.53302506120627,1.6701183835727729,2.191647093400778,0.8896315613414294,0.8193733541483614,0.4733203160309806,0.4382864522699728,7.942107575640815,29.991048495507663,0.0060192158345558,1.7999610801214725,0.0029620603237496,0.022948590013681,-0.0015097119444638,-0.0018545012044727,-5.407729135513383e-05,-8.743933776382905e-06,-0.0006000880801352,-2.7224863482695693e-06,-1.9504600247855508e-05,-6.768220213227122e-06,0.0758693206044053,1.3002444672007128e-33,6.557746314384864e-14,-0.3181156939814973,0.0002598573623339,0.0012254605088166,-0.0001095615798705,-4.472166488960055e-05,-0.0003379079486794,0.0014409210266149,0.8599286942551775,1.1973958824347,1.051239291742622,0.1140348731963996,1.2935186534355547,1.021777450107958,0.7935420119560094,0.7038323495703499,1.0122975410022237,279.4750176192806,12542127
29921,5.695432708874505,4.005092653201852,15.053598102573284,148.05705773255286,1.5992794954071283,2.252750744004886,1.4407060356019905,0.8558477577484058,1.4137407923206002,0.5647699643060612,8.255586810598404,32.00023862190773,0.0042272209935086,4.156776415760039,0.0001259122649664,0.0086045662172293,-0.0025410056131787,-0.0015174371468473,-8.147483480055117e-05,8.046160894500655e-06,-0.0005225993391542,-3.006723538552456e-06,-3.504690591851756e-05,-8.023246670702769e-06,0.0006727569168654,0.0667604128660448,1.1056085492834191e-14,-2.76526588115495,0.00025515080483,0.0013188248006021,-0.0001225332095344,0.000190307425106,-2.155405071584093e-06,0.0017213245831692,0.8746121144885002,1.1603641812182144,1.1867533881121388,0.3819918334384762,1.1200380150794582,1.1185715023408993,0.9974024980510274,0.34236978965618,1.0333514294055,278.6229729999376,13294242
31617,23.19322738109817,3.725026228277804,11.589891291864474,59.37003290771544,0.9847842855796964,3.600696154503382,1.2047137870850513,1.2061464330891414,1.2138860430048333,0.5238341788924168,7.322892996991233,34.22759009304759,0.0035642365573061,0.8395622297180526,0.0024394300703232,0.0147350692067276,-0.0024323093351262,-0.002825608871793,-8.466659923550169e-05,-1.2154460105329126e-05,-0.0005218451313977,-2.336132706024838e-06,-1.79559332866599e-05,-8.039018637457189e-06,0.0088879713243191,17840.431972097325,7.844254455160102e-12,-0.8535802930953111,0.0002819839522606,0.0016485106174794,-5.010289532938717e-05,0.0001644212297187,0.0001140006798604,0.0007360499845989,0.9038800474824702,1.137926119115265,0.9532786687912164,1.5724797318561432,0.9905549254155214,1.0119914831432666,1.3301815524725116,0.2787453763161325,0.966857533688467,276.5921435912829,13970946
33140,6.904658411388233,4.718733565351959,13.398771134096307,118.4884629502256,1.5121815507491427,2.319788822720362,1.5355557753208893,1.0674616677203457,0.8201825555131039,0.4431560922243822,8.708617036592004,36.18735612198272,0.0001224580679042,2.6569367283122696,0.0028862510747837,0.0282941764071097,-0.0027713063152806,-0.0020021041603067,-7.203414221500097e-05,-4.392858672549261e-06,-0.0005542963554862,-1.7996553601771247e-06,-2.488095474961553e-05,-6.012415155695075e-06,0.1594841996972219,1.8270894346806398e-49,11.48215150336775,-1.157132367602225,0.0002717920464947,0.0015068475456157,-0.0001463198001059,4.797465234688591e-05,3.558177384637307e-05,0.0008750280945803,1.045037469426217,0.8615413635203142,1.1436683072266485,1.104799999338389,1.1812903064894746,1.063124639983767,1.395547128068878,0.8012233470022765,1.0666119940545395,276.8003528505496,14578623
36292,24.84641184612159,2.526991230998304,9.007278322870487,78.05291464756704,1.6320315069053333,4.8522937041409,0.5332441556117851,0.8844672335085388,2.0218429313934627,0.375154392820755,7.653579282220905,36.51177436926039,0.0010071793698012,-1.104582849988496,0.0044674700685072,0.0131662413617236,-0.0054772872690664,-0.0028822734828717,-7.33797854293758e-05,-1.3458271211003392e-05,-0.0005236115919869,-3.335893530247005e-06,-1.3308066656673523e-05,-8.385735243567181e-06,0.0051947903694931,3.2389975685448096e-11,0.0028971629966582,-1.579304141656228,0.0002394087879427,0.0014257384693015,-4.033687812355825e-05,0.0001846475090395,-3.979375890453011e-05,0.0015635889912967,0.9561974328095908,0.999449342538074,1.0675640433284748,0.8017713727469153,0.452505342602438,1.155470677464771,0.6374918444092283,1.2253335280787354,0.9921876420295432,279.17867353776654,15836271
36549,3.6078964861564313,4.705570414191322,8.637300777545734,139.62442653073686,1.2732250263238276,1.9445118603208116,1.2494280974899876,1.1350757884656784,0.466899477997618,0.4333353729371135,7.846879721197758,38.06058851573565,-0.0002401313409864,-1.7834794775673166,0.0052924691260394,0.0192364632228922,-0.0042008304270149,-0.0034823304638157,-7.26505434529525e-05,-3.527106065165165e-05,-0.0005053210605214,-4.101663416224422e-06,-4.878843756130882e-05,-7.289865748502215e-06,1.0490105585739197e-06,0.0002115998436157,1.9840187834719352e-07,-809.2964866123367,0.000239547654411,0.0008947750230851,5.431537813561475e-05,5.874239811797701e-05,-0.0003128775707235,0.0017465914308499,1.023897190777369,0.958950072219976,1.067390586206865,0.9129509080886012,0.7017152357421568,0.9290353833921952,0.6404455350940882,0.7545727837283162,1.0052717482540856,277.38135781366736,15938814
39993,5.962371788979549,5.0835347255128935,13.50797877429818,38.83725104469396,1.3648825869013086,2.789693453861601,0.7716931299336974,1.73151790890999,1.173459226051421,0.2905042571522124,7.660322429524071,32.63743078730466,0.0031432911430586,3.394164364860261,0.0002316875292085,0.0219266606141685,-0.0047542796835226,-0.0006973609691724,-6.624828551063401e-05,-2.4909606208087812e-05,-0.0005706050419755,-1.5817983637042888e-06,-6.514488989737606e-05,-8.295407279636516e-06,0.023831311588476,0.138813169236471,2.8730718806969976e-16,-1.0059391274794314,0.0002407186480262,0.0012059002685196,3.272075920591397e-05,9.918707092431892e-05,0.0001900710938084,0.0014807873766508,0.8365357659976689,0.8832688125322153,1.2157829425743545,1.5728932838806893,0.7524922952553553,1.1871579477505934,1.0042881472793728,1.5854189863025157,0.9926326921060924,280.0982646178232,17312970
42471,24.641491464366133,2.797801678469455,9.538221759406827,82.3444323049463,1.9950210832587585,4.996980120235888,1.1688767591153688,1.0716226236026365,2.5132258590816603,0.4506196070515553,8.820697954730168,39.612389078625874,-0.0033635644480051,-1.611243970811469,0.0064376296853337,0.0162968948046145,-0.0059385065395381,-0.0042501293111508,-7.431766256288029e-05,-2.931095641551321e-05,-0.0005212312844757,-3.223842187289917e-06,-1.947654657143697e-05,-7.739170046560144e-06,0.0104897697143276,5.1029266595785575e-14,0.0335605982098082,-1.1600190201679663,0.000275110023485,0.001570819273117,9.978906741814513e-05,0.0001934085640933,4.148778479697881e-05,0.0014869240447886,1.002599209061409,0.9674101810058192,1.1526448127002542,0.2569840568673982,1.198952825880768,1.086087515622201,1.256066096692146,0.8730483781731785,1.0740917774368428,278.1945542113176,18301692
43114,6.533819460493351,4.876133278408678,15.56056826522624,73.11846338081064,1.4708518372784165,3.358295720509701,0.5833581847949585,1.4148930608803565,0.6794812635617219,0.401769524662918,8.758378412676656,32.108027539419204,0.0041462067922771,2.723308993022987,0.0009618385140286,0.0228975360048336,-0.0048640570376718,0.0013392017300633,-6.160018423972823e-05,3.5812520763109747e-06,-0.0005440781376326,-2.7988783333150976e-06,-3.893435452876408e-05,-6.295298394698844e-06,0.0155475482096784,2.0229813646829846e-40,0.017627782650873,-1.436915706405011,0.0002014409693128,0.0014922530310895,1.1808285850298124e-05,-1.4578625060429504e-05,3.1708591395162844e-05,0.0006456108421043,0.930992934963308,0.954954729928952,0.9987895069246832,0.7042154276799337,0.8854865461033717,1.0561605599671868,0.837202990131734,0.9732527083551246,1.0706733465645784,281.20773768731783,18558249
43582,8.832692189783,3.739219347213732,6.040200515755983,144.29075424981053,1.2670326177500182,3.663560264251241,0.7025295601128757,1.2437574851064574,1.3315638273199408,0.6332355356498662,9.094201709158636,31.19367452862917,0.0037864632547178,3.1716724036991035,0.002439325753649,0.0100980573583838,-0.0024916928138154,-0.0024836338703602,-8.261798210046132e-05,1.5361030061569673e-05,-0.0005307031259363,-2.2353346822469023e-06,-2.068712080858692e-05,-6.571836494024676e-06,0.0035344286791559,4.022273605843876e-05,3.37932154843359e-16,-3.855526184981854,0.0002795792539001,0.0009614691938598,-6.45885110390597e-05,0.0001544013484541,-0.0004084093071075,0.001863182285835,0.9094636153042348,0.9714965144092854,1.047274732630051,0.5281675401964978,1.1745764052717598,1.0707564974320918,0.8480715212638463,2.082776165210697,1.093050998650221,279.21098442853486,18744981
44406,2.4545357110092416,4.887559944290097,6.230914926950069,55.8469197700273,1.3682835121017307,4.071712654087063,1.5958687609557314,1.6783692710620546,1.1848007850934097,0.6373814802201381,8.104834646736542,35.949503463448245,0.0013223725292043,1.3098672303321646,0.0028262336463969,0.0310565865084505,-0.00422001190791,-0.0039166907425593,-5.794228864471711e-05,1.5862660840466704e-07,-0.0005315650965939,-3.4095073670572207e-06,-4.751407973565759e-05,-8.126909328817238e-06,0.0020772604649744,0.0176466750413348,1.185273342502435e-16,-1.0605901337302692,0.0001997306157409,0.0008871663523421,-0.0001307600092527,0.0001457865735002,5.731698366901231e-05,0.0005438763514165,0.7669247528062761,0.9492624731211504,0.98282456296884,-0.2268495062292754,0.6523727267410818,0.8350529222445251,1.0043168172685606,0.5119315229931631,1.0230306057131615,274.9931550856652,19073757
48227,11.692655408236122,4.459480390601599,12.198340420839664,155.02898221574753,1.5803333404020314,1.7271898050690695,1.3070115336223145,1.0016996390988675,1.325236565512581,0.6247495146041538,7.882662192591555,37.372126150904485,-0.0020517483152998,3.653319491289429,0.0020323135564792,0.0257385772493992,-0.0039196181270599,-0.0039229574834544,-3.618831600732053e-05,-2.91182565378443e-06,-0.0005581703096985,-8.99366914539541e-07,-4.808541490014576e-05,-7.244872021749328e-06,0.0025287571900665,7.18209181428108e-15,0.0003383972131445,-2.056599107740764,0.000261788354822,0.0015843004143179,3.384403049872571e-05,-6.757304810355819e-06,-0.0001246020828334,-7.731369311698814e-06,1.0165866063161355,1.0068242967330636,0.89558242536054,1.3529200244365398,1.1836152394265542,0.9201006463048044,0.7557556631358888,1.8693540907484896,1.0082600009252214,277.9294280760785,20598336
50472,11.34427727882904,3.766219782002538,5.499534269310874,44.57552236448291,1.1465850570663556,3.336218633301485,1.4743759064451338,1.39172645097381,1.43197117280538,0.6951875341657111,8.758072054394518,33.23416357131212,0.0027132771326647,5.127352344822646,0.0007207967865098,0.0166935562869049,-0.0041668922509691,-0.0014684373822545,-6.507984059058544e-05,-9.722539355937214e-06,-0.0005878512180541,-2.268655841154035e-06,-4.24186001467855e-05,-6.033748468524553e-06,0.0086057625205396,22.629279153134288,1.6296454410851194e-10,-1.2163093856521223,0.0002971632203378,0.0013341627336668,-4.401290223333119e-05,0.0002007326118717,-0.0004324021470479,0.0017846900112355,1.3077751412944305,0.9743648200010164,0.9139552679874524,0.8649373906281234,1.2634269236654343,1.1624138943810198,1.0250195653914786,1.8505776309126385,1.0706571858166876,275.7293669293491,21494091
